,index,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error,logaf,logbc,logkm
223,142087189,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.5,0.02,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-3.2188758248682006,
224,142299220,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.4,0.07,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-1.9661128563728327,
225,142299216,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.4,0.06,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-2.120263536200091,
226,142299088,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.04,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-2.5257286443082556,
227,142299344,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.7,0.08,0.01,2897.7305,0,7.971683123387227,-2.1400661634962708,-1.8325814637483102,
228,142087301,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.1,0.7,0.1,0.01,2897.7305,0,7.971683123387227,-1.9459101490553132,-1.6094379124341003,
229,142299260,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.5,0.07,0.01,2897.7305,0,7.971683123387227,-2.0149030205422647,-1.9661128563728327,
230,142299256,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.5,0.06,0.01,2897.7305,0,7.971683123387227,-2.0149030205422647,-2.120263536200091,
231,142299140,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.07,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-1.9661128563728327,
232,142299176,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.3,0.06,0.01,2897.7305,0,7.971683123387227,-1.8718021769015913,-2.120263536200091,
233,142299180,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.3,0.07,0.01,2897.7305,0,7.971683123387227,-1.8718021769015913,-1.9661128563728327,
234,142299184,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.3,0.08,0.01,2897.7305,0,7.971683123387227,-1.8718021769015913,-1.8325814637483102,
235,142299108,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.09,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-1.7147984280919266,
236,142299112,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.1,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-1.6094379124341003,
237,142299128,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.04,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-2.5257286443082556,
238,142299132,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.05,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-2.3025850929940455,
239,142299136,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.06,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-2.120263536200091,
240,142299172,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.3,0.05,0.01,2897.7305,0,7.971683123387227,-1.8718021769015913,-2.3025850929940455,
241,142299144,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.08,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-1.8325814637483102,
242,142299328,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.7,0.04,0.01,2897.7305,0,7.971683123387227,-2.1400661634962708,-2.5257286443082556,
243,142299332,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.7,0.05,0.01,2897.7305,0,7.971683123387227,-2.1400661634962708,-2.3025850929940455,
244,142299336,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.7,0.06,0.01,2897.7305,0,7.971683123387227,-2.1400661634962708,-2.120263536200091,
245,142299340,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.7,0.07,0.01,2897.7305,0,7.971683123387227,-2.1400661634962708,-1.9661128563728327,
246,142299096,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.06,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-2.120263536200091,
247,142299100,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.1,0.07,0.01,2897.7305,0,7.971683123387227,-1.7047480922384253,-1.9661128563728327,
248,142506882,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.3,0.5,0.1,0.01,2897.7305,0,7.971683123387227,-0.5108256237659907,-1.6094379124341003,
249,142299168,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.3,0.04,0.01,2897.7305,0,7.971683123387227,-1.8718021769015913,-2.5257286443082556,
250,142299152,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.1,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-1.6094379124341003,
